iter	Passed	Remaining
401	16013	23820
402	16050	23777
403	16087	23732
404	16127	23693
405	16169	23656
406	16206	23612
407	16244	23570
408	16283	23529
409	16320	23485
410	16361	23446
411	16398	23403
412	16439	23365
413	16480	23328
414	16522	23290
415	16561	23249
416	16601	23209
417	16638	23166
418	16678	23127
419	16715	23082
420	16753	23041
421	16793	23001
422	16834	22962
423	16872	22921
424	16909	22877
425	16948	22836
426	16987	22796
427	17025	22753
428	17064	22712
429	17103	22671
430	17143	22632
431	17180	22589
432	17219	22548
433	17262	22512
434	17306	22478
435	17349	22442
436	17390	22404
437	17430	22364
438	17469	22324
439	17510	22285
440	17552	22248
441	17594	22212
442	17637	22176
443	17681	22141
444	17724	22106
445	17767	22070
446	17808	22031
447	17850	21993
448	17889	21953
449	17928	21912
450	17968	21873
451	18008	21833
452	18049	21794
453	18088	21754
454	18128	21714
455	18168	21674
456	18207	21633
457	18246	21593
458	18282	21548
459	18320	21506
460	18360	21467
461	18399	21426
462	18439	21386
463	18479	21347
464	18520	21308
465	18563	21272
466	18602	21231
467	18637	21185
468	18677	21146
469	18718	21108
470	18759	21069
471	18800	21031
472	18840	20991
473	18884	20956
474	18929	20922
475	18972	20885
476	19015	20848
477	19058	20813
478	19100	20775
479	19142	20737
480	19185	20701
481	19227	20663
482	19270	20627
483	19312	20589
484	19351	20548
485	19391	20508
486	19431	20469
487	19471	20429
488	19511	20389
489	19550	20348
490	19586	20304
491	19628	20266
492	19670	20229
493	19714	20193
494	19759	20158
495	19804	20123
496	19848	20087
497	19890	20050
498	19935	20014
499	19977	19977
500	20019	19939
501	20057	19897
502	20095	19855
503	20133	19814
504	20174	19775
505	20214	19734
506	20251	19692
507	20291	19652
508	20335	19616
509	20373	19574
510	20411	19532
511	20450	19491
512	20488	19449
513	20529	19411
514	20570	19372
515	20611	19333
516	20655	19296
517	20698	19260
518	20742	19224
519	20784	19186
520	20825	19146
521	20864	19106
522	20905	19066
523	20946	19027
524	20984	18986
525	21024	18945
526	21064	18906
527	21104	18865
528	21143	18825
529	21183	18785
530	21223	18745
531	21266	18707
532	21308	18670
533	21348	18630
534	21390	18592
535	21432	18553
536	21476	18516
537	21515	18476
538	21556	18436
539	21594	18395
540	21631	18352
541	21673	18314
542	21709	18271
543	21749	18231
544	21788	18190
545	21828	18150
546	21865	18108
547	21906	18068
548	21946	18028
549	21990	17992
550	22028	17950
551	22064	17907
552	22109	17871
553	22148	17830
554	22194	17795
555	22232	17754
556	22272	17714
557	22313	17674
558	22354	17635
559	22400	17600
560	22437	17558
561	22477	17518
562	22519	17479
563	22555	17436
564	22592	17393
565	22630	17352
566	22669	17312
567	22707	17270
568	22745	17229
569	22833	17225
570	22890	17198
571	22924	17153
572	22958	17108
573	22994	17065
574	23033	17024
575	23073	16985
576	23111	16942
577	23152	16904
578	23191	16863
579	23232	16823
580	23273	16784
581	23317	16746
582	23356	16706
583	23395	16665
584	23435	16625
585	23475	16585
586	23516	16545
587	23555	16504
588	23597	16466
589	23638	16426
590	23680	16387
591	23718	16346
592	23760	16307
593	23801	16268
594	23840	16227
595	23880	16187
596	23924	16150
597	23967	16111
598	24009	16073
599	24053	16035
600	24094	15995
601	24134	15956
602	24174	15915
603	24220	15879
604	24263	15841
605	24305	15802
606	24344	15762
607	24402	15733
608	24444	15694
609	24484	15654
610	24527	15615
611	24562	15572
612	24604	15533
613	24645	15493
614	24687	15454
615	24728	15415
616	24766	15373
617	24807	15334
618	24849	15294
619	24890	15255
620	24932	15216
621	24971	15175
622	25011	15135
623	25057	15098
624	25095	15057
625	25137	15018
626	25177	14978
627	25223	14941
628	25262	14900
629	25303	14860
630	25343	14820
631	25384	14781
632	25424	14740
633	25466	14701
634	25506	14661
635	25548	14622
636	25590	14583
637	25634	14545
638	25678	14506
639	25720	14467
640	25761	14428
641	25804	14389
642	25841	14347
643	25877	14305
644	25914	14263
645	25954	14222
646	25993	14182
647	26032	14140
648	26072	14101
649	26112	14060
650	26153	14020
651	26193	13980
652	26233	13940
653	26273	13900
654	26311	13858
655	26350	13817
656	26388	13776
657	26427	13735
658	26466	13694
659	26506	13654
660	26546	13614
661	26588	13575
662	26630	13536
663	26671	13496
664	26712	13456
665	26750	13415
666	26788	13374
667	26826	13332
668	26865	13292
669	26909	13254
670	26947	13212
671	26984	13170
672	27033	13135
673	27070	13093
674	27107	13051
675	27149	13012
676	27187	12971
677	27226	12930
678	27265	12889
679	27304	12849
680	27344	12808
681	27384	12768
682	27427	12729
683	27464	12688
684	27502	12646
685	27542	12607
686	27581	12566
687	27627	12528
688	27668	12489
689	27711	12450
690	27754	12411
691	27798	12372
692	27842	12334
693	27883	12294
694	27922	12253
695	27960	12212
696	27999	12171
697	28042	12132
698	28081	12092
699	28119	12051
700	28157	12010
701	28197	11969
702	28237	11929
703	28281	11891
704	28320	11850
705	28357	11808
706	28399	11769
707	28440	11729
708	28483	11690
709	28527	11651
710	28569	11612
711	28611	11573
712	28655	11534
713	28695	11494
714	28736	11454
715	28784	11417
716	28826	11377
717	28874	11340
718	28916	11301
719	28954	11260
720	28994	11219
721	29035	11179
722	29071	11138
723	29108	11096
724	29151	11057
725	29189	11016
726	29227	10975
727	29264	10934
728	29301	10892
729	29338	10851
730	29382	10812
731	29419	10771
732	29456	10729
733	29495	10689
734	29533	10648
735	29576	10609
736	29614	10567
737	29655	10527
738	29696	10488
739	29735	10447
740	29782	10409
741	29819	10368
742	29859	10328
743	29898	10287
744	29941	10248
745	29983	10208
746	30024	10168
747	30066	10129
748	30104	10088
749	30142	10047
750	30186	10008
751	30225	9967
752	30263	9927
753	30302	9886
754	30342	9846
755	30385	9806
756	30427	9767
757	30466	9726
758	30504	9685
759	30542	9645
760	30583	9605
761	30626	9565
762	30673	9527
763	30712	9487
764	30748	9445
765	30788	9405
766	30830	9365
767	30867	9324
768	30909	9284
769	30952	9245
770	30995	9206
771	31055	9171
772	31101	9133
773	31139	9092
774	31179	9052
775	31218	9011
776	31258	8971
777	31307	8933
778	31345	8892
779	31387	8852
780	31431	8813
781	31473	8773
782	31512	8733
783	31553	8693
784	31591	8652
785	31640	8614
786	31679	8573
787	31718	8533
788	31759	8493
789	31799	8452
790	31841	8413
791	31889	8375
792	31928	8334
793	31966	8293
794	32006	8253
795	32045	8212
796	32087	8172
797	32128	8132
798	32166	8091
799	32205	8051
800	32247	8011
801	32288	7971
802	32329	7931
803	32370	7891
804	32410	7850
805	32454	7811
806	32510	7775
807	32554	7735
808	32597	7696
809	32638	7655
810	32678	7615
811	32716	7574
812	32755	7534
813	32794	7493
814	32834	7453
815	32873	7412
816	32912	7372
817	32951	7331
818	32991	7291
819	33030	7250
820	33070	7210
821	33115	7171
822	33160	7131
823	33200	7091
824	33239	7050
825	33281	7010
826	33317	6969
827	33354	6928
828	33392	6887
829	33429	6847
830	33473	6807
831	33512	6766
832	33554	6726
833	33604	6688
834	33642	6647
835	33682	6607
836	33719	6566
837	33759	6526
838	33797	6485
839	33836	6445
840	33876	6404
841	33916	6364
842	33957	6324
843	34000	6284
844	34045	6244
845	34086	6204
846	34131	6165
847	34168	6124
848	34207	6084
849	34247	6043
850	34288	6003
851	34325	5962
852	34366	5922
853	34401	5881
854	34440	5840
855	34478	5800
856	34516	5759
857	34552	5718
858	34590	5677
859	34633	5637
860	34672	5597
861	34710	5556
862	34749	5516
863	34791	5476
864	34832	5436
865	34875	5396
866	34919	5356
867	34960	5316
868	34998	5276
869	35042	5236
870	35082	5195
871	35121	5155
872	35161	5115
873	35204	5075
874	35246	5035
875	35292	4995
876	35332	4955
877	35373	4915
878	35416	4875
879	35454	4834
880	35492	4794
881	35531	4753
882	35569	4713
883	35612	4673
884	35649	4632
885	35690	4592
886	35733	4552
887	35775	4512
888	35818	4472
889	35860	4432
890	35900	4391
891	35938	4351
892	35980	4311
893	36023	4271
894	36067	4231
895	36110	4191
896	36151	4151
897	36193	4111
898	36238	4071
899	36276	4030
900	36316	3990
901	36360	3950
902	36401	3910
903	36441	3869
904	36480	3829
905	36519	3789
906	36557	3748
907	36598	3708
908	36643	3668
909	36685	3628
910	36728	3588
911	36766	3547
912	36812	3507
913	36850	3467
914	36887	3426
915	36926	3386
916	36963	3345
917	37002	3305
918	37038	3264
919	37078	3224
920	37119	3183
921	37167	3144
922	37206	3103
923	37243	3063
924	37280	3022
925	37318	2982
926	37358	2941
927	37394	2901
928	37434	2860
929	37477	2820
930	37518	2780
931	37559	2740
932	37601	2700
933	37641	2659
934	37679	2619
935	37719	2579
936	37757	2538
937	37797	2498
938	37836	2457
939	37876	2417
940	37917	2377
941	37956	2337
942	37996	2296
943	38034	2256
944	38071	2215
945	38109	2175
946	38146	2134
947	38188	2094
948	38227	2054
949	38267	2014
950	38307	1973
951	38347	1933
952	38386	1893
953	38425	1852
954	38465	1812
955	38504	1772
956	38544	1731
957	38582	1691
958	38627	1651
959	38665	1611
960	38704	1570
961	38744	1530
962	38783	1490
963	38825	1449
964	38863	1409
965	38902	1369
966	38940	1328
967	38982	1288
968	39021	1248
969	39060	1208
970	39101	1167
971	39142	1127
972	39182	1087
973	39222	1047
974	39261	1006
975	39300	966
976	39341	926
977	39380	885
978	39418	845
979	39457	805
980	39496	764
981	39535	724
982	39572	684
983	39614	644
984	39653	603
985	39699	563
986	39738	523
987	39777	483
988	39820	442
989	39862	402
990	39903	362
991	39943	322
992	39983	281
993	40022	241
994	40063	201
995	40106	161
996	40145	120
997	40184	80
998	40222	40
999	40261	0
