iter	Logloss
0	0.6701874898
1	0.648766037
2	0.6288893789
3	0.6112191416
4	0.5951842855
5	0.5796876017
6	0.5669893951
7	0.5550999552
8	0.5465971476
9	0.5376262054
10	0.5295481059
11	0.522510259
12	0.514452596
13	0.5081777318
14	0.5014876887
15	0.4963032099
16	0.4910266876
17	0.4870696004
18	0.4830971451
19	0.4789841258
20	0.4749200617
21	0.4713420258
22	0.4679302572
23	0.4653889592
24	0.4620201136
25	0.4586378937
26	0.4560537542
27	0.4532074178
28	0.4508667475
29	0.4489467163
30	0.4471075745
31	0.4457458827
32	0.4437520472
33	0.4420295283
34	0.4409610087
35	0.4393629252
36	0.4382568156
37	0.4371937739
38	0.435801267
39	0.4346443278
40	0.4334724706
41	0.4321318792
42	0.4312525075
43	0.4304596965
44	0.4297474696
45	0.4288089879
46	0.4281336161
47	0.4272322032
48	0.4260685145
49	0.4253469721
50	0.4246305466
51	0.4239235001
52	0.4233494136
53	0.4227166773
54	0.4222386983
55	0.4218703105
56	0.4215473938
57	0.4209098918
58	0.4202887395
59	0.4197016246
60	0.419260704
61	0.4186386998
62	0.418213824
63	0.417820193
64	0.4174160207
65	0.4170193965
66	0.4166288732
67	0.4162943446
68	0.4159639308
69	0.4156328049
70	0.4150595601
71	0.4145940882
72	0.4142252248
73	0.413904068
74	0.413623291
75	0.4132712886
76	0.4128759664
77	0.4125043157
78	0.4121641337
79	0.411674118
80	0.4113215942
81	0.4108745931
82	0.410449496
83	0.4102312215
84	0.4100223058
85	0.4097935206
86	0.4095686824
87	0.4092402496
88	0.4090468267
89	0.4087235311
90	0.408525383
91	0.4083100586
92	0.4079891027
93	0.4077370021
94	0.4074953944
95	0.407194987
96	0.4068962784
97	0.4064720917
98	0.4062451452
99	0.4059978536
100	0.4056121318
101	0.4054414775
102	0.4052873332
103	0.4049055684
104	0.404735644
105	0.4043020757
106	0.4041342926
107	0.4038757655
108	0.4036843058
109	0.4034596024
110	0.4032366308
111	0.4030365957
112	0.4029188716
113	0.4027436269
114	0.4024360224
115	0.4021895777
116	0.4019764709
117	0.401800293
118	0.4015018539
119	0.4013257065
120	0.4011617076
121	0.4009283371
122	0.4007448451
123	0.4006130269
124	0.4004431025
125	0.4001232351
126	0.3998320541
127	0.3996677424
128	0.3994961802
129	0.3993293152
130	0.3991431554
131	0.3989756648
132	0.3988019663
133	0.3986484731
134	0.3983911947
135	0.398248731
136	0.3980659129
137	0.3977974192
138	0.397682785
139	0.3975002314
140	0.3972848434
141	0.397154569
